Scheme Code,Scheme Name,Start Date,Last Date,ret_0.5Y,ret_1Y,ret_2Y,ret_3Y,ret_5Y,vol_0.5Y,vol_1Y,vol_2Y,vol_3Y,vol_5Y,semidev_0.5Y,semidev_1Y,semidev_2Y,semidev_3Y,semidev_5Y,Sharpe_0.5Y,Sharpe_1Y,Sharpe_2Y,Sharpe_3Y,Sharpe_5Y,Sortino_0.5Y,Sortino_1Y,Sortino_2Y,Sortino_3Y,Sortino_5Y,95pct1dVaR,95pct1mVaR,95pct1dESF,95pct1mESF,max_drawdown,aum,sharpe_hist1Y_1Y,sharpe_hist1Y_2Y,sharpe_hist1Y_3Y,sharpe_hist1Y_5Y,Scheme Cat1,Scheme Cat2,Scheme Code Direct,Scheme Code Reg,Master Scheme Name Reg,Master Scheme Name Direct,TER scheme name,Direct TER,Regular TER,type
120780,UTI India Consumer Fund - Direct Plan - Growth Option,1/2/2013,9/30/2024,50.32458607,40.68778781,24.03346626,15.96334998,17.72479083,12.56834105,11.59756297,10.14749205,12.79672704,15.68362183,8.157569082,8.145861167,7.187591742,9.473153214,12.04637617,3.765380481,3.249629937,2.072774844,1.013020747,0.938864185,5.801309875,4.626617989,2.926357954,1.36843031,1.222341941,1.39509218,4.599406711,2.020649472,6.737529608,18.69486233,1188.72,0.49528701,0.03562181,1.09806674,0.592838914,Equity,ELSS,120780,106425,UTI India Consumer Fund - Regular Plan - Growth Option,UTI India Consumer Fund - Direct Plan - Growth Option,UTI - India Consumer Fund,1.59,2.44,Direct
120505,Axis Midcap Fund - Direct Plan - Growth,1/2/2013,9/30/2024,45.67535529,40.94480649,28.34525443,16.58223329,22.89521749,15.93282206,13.9410179,11.77043711,13.95967213,15.69420607,12.37387807,10.77539361,8.968063719,10.7708042,12.30825858,2.678455526,2.721810327,2.153297638,0.972962198,1.26767913,3.448826232,3.521431128,2.826167969,1.261023136,1.616412051,1.367209553,4.553885351,2.223282619,7.127560031,20.34457478,909703.57,1.339627599,0.077690214,1.32344688,0.977851548,Equity,Small Cap Fund,120505,114564,Axis Midcap Fund - Regular Plan - Growth,Axis Midcap Fund - Direct Plan - Growth,Axis Midcap Fund,0.53,1.56,Direct
120782,UTI Healthcare Fund - Direct Plan - Growth Option,1/2/2013,9/30/2024,51.93901473,47.28930584,33.39575712,18.42490708,26.14301311,11.40591221,11.25776688,10.42894104,12.26858607,15.7458029,8.062465487,8.189831902,7.336141191,8.874389737,11.25686797,4.290670823,3.934111117,2.914558342,1.257268523,1.469789332,6.069981299,5.407840646,4.143289548,1.738137217,2.055901622,1.378785417,4.794401108,1.917943278,6.806637623,21.06339371,20607.86,1.770445104,0.088627489,0.718476808,0.837786761,Equity,ELSS,120782,100807,UTI Healthcare Fund - Regular Plan - Growth Option,UTI Healthcare Fund - Direct Plan - Growth Option,UTI - Healthcare Fund,1.3,2.25,Direct
118722,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus,1/3/2013,9/30/2024,50.08414124,40.91961231,27.29764086,21.67814449,24.04760908,11.41697747,10.75075536,9.769335059,12.39489176,15.80977195,7.047348282,7.477653138,6.884411037,9.111143825,12.07314149,4.124046086,3.527157956,2.487133537,1.506922759,1.331303775,6.681114563,5.071057939,3.529371028,2.050032888,1.74334154,1.245632193,4.119689828,1.973021646,5.714011257,15.18334714,27.03,1.188959792,0.673849766,1.741318527,1.011611684,Equity,ELSS,118722,102752,Nippon India Consumption Fund-Growth Plan-Bonus Option,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus,Nippon India Consumption Fund,0.77,2.08,Direct
120164,Kotak-Small Cap Fund - Growth - Direct,1/2/2013,9/30/2024,50.73309456,38.99230664,28.77757534,19.18646278,29.28289924,14.40760922,13.4854597,11.27985159,13.02812991,16.0026848,11.42636971,10.8003761,8.885489292,10.28582701,12.91746173,3.313047558,2.668971428,2.285276109,1.242424115,1.642405607,4.17745056,3.332504934,2.90108676,1.573666635,2.034679862,1.286120752,4.512457146,2.246715023,7.1153491,18.55135411,445933.39,1.824328045,0.489840487,2.181838555,1.288978346,Equity,Dividend Yield Fund,120164,102875,Kotak-Small Cap Fund - Growth,Kotak-Small Cap Fund - Growth - Direct,Kotak Small Cap Fund,0.48,1.64,Direct
120323,ICICI Prudential Value Discovery Fund - Direct Plan - Growth,1/2/2013,9/30/2024,35.33750448,38.32866836,30.3841429,21.12657289,24.6065993,12.23274432,11.0377592,9.664954344,11.62834812,16.02999996,9.52021978,8.504148603,7.281138632,8.818344959,12.30681757,2.643520017,3.20071019,2.833344258,1.558826129,1.347885175,3.396718272,4.154286338,3.760969854,2.055552711,1.755660972,1.317299184,3.388073005,2.093740991,5.273023728,13.25504536,1033408.06,2.376951543,0.788363037,1.766765964,0.877532281,Equity,Contra Fund,120323,102594,ICICI Prudential Value Discovery Fund - Growth,ICICI Prudential Value Discovery Fund - Direct Plan - Growth,ICICI Prudential Value Discovery Fund,0.98,1.53,Direct
125354,Axis Small Cap Fund - Direct Plan - Growth,12/5/2013,9/30/2024,42.25994672,35.0703018,28.84650333,20.41336377,26.35016738,14.5701224,13.52985472,11.44646886,13.15828905,16.03462545,11.32163599,10.52269627,8.826006602,10.29651641,12.90237119,2.694551607,2.370336006,2.258032904,1.323375988,1.456234039,3.467692016,3.047726644,2.92844822,1.691189823,1.809757838,1.318273627,4.179742093,2.179845359,6.766937555,15.90909091,1092001.19,2.173524074,0.767026606,1.977005774,1.330867241,Equity,Dividend Yield Fund,125354,125350,Axis Small Cap Fund - Regular Plan - Growth,Axis Small Cap Fund - Direct Plan - Growth,Axis Small Cap Fund,0.54,1.61,Direct
135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,12/29/2015,9/30/2024,42.77057582,46.51060423,32.57361592,19.75666456,26.06765419,12.86169996,12.273102,11.28630997,12.47859512,16.06104994,8.941437953,8.900711342,7.933201424,8.888668573,11.29513549,3.092171016,3.545200245,2.620308674,1.342832619,1.436248208,4.447894849,4.888441222,3.727828696,1.885171488,2.042264497,1.330925917,4.442309075,1.888397954,6.234018593,17.2634798,21460.13,1.573122103,0.283372903,0.851545279,0.92570236,Equity,ELSS,135810,135812,Tata India Pharma & Healthcare Fund-Regular Plan-Growth,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,Tata India Pharma & Healthcare Fund,0.72,2.14,Direct
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,1/2/2013,9/30/2024,52.56759749,40.6536847,29.12213417,21.24784535,21.89752711,11.89584544,11.22204274,9.811715241,12.50540792,16.06353106,7.955143131,8.09219011,7.040979294,9.271050515,12.56311546,4.16679905,3.355332497,2.662341244,1.459196331,1.176424227,6.230886946,4.653089483,3.710014342,1.968260805,1.504207071,1.257075834,3.874685241,2.007835656,5.843990516,15.35851895,51140.47,1.723198573,0.630018123,1.629783791,0.859617349,Equity,ELSS,118837,114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Mirae Asset Great Consumer Fund,0.42,1.84,Direct
119783,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,1/2/2013,9/30/2024,37.21311445,42.75081249,33.95377219,21.16076334,26.59232487,11.01321939,11.14176512,10.31569022,12.32022128,16.13592149,7.686376943,8.192687669,7.386347702,8.95858548,11.73031053,3.106549797,3.567730253,3.000649644,1.474061458,1.462099632,4.451136694,4.851986808,4.190673583,2.027190942,2.01122765,1.406920692,4.750322211,1.973105912,6.750875225,18.15080526,69600.71,2.433037625,0.603237182,0.939307745,0.880909379,Equity,ELSS,119783,102823,SBI HEALTHCARE OPPORTUNITIES FUND - REGULAR PLAN -GROWTH,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,SBI HEALTHCARE OPPORTUNITIES FUND,0.9,1.96,Direct
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,1/2/2013,9/30/2024,34.08346409,34.47162142,24.89356422,18.12476663,21.17429838,13.71700778,12.3145921,10.42245519,12.67250787,16.23555029,10.8532023,9.661581721,8.078747407,9.824506702,13.04075174,2.266052816,2.55563653,2.100614857,1.193510139,1.119413759,2.863990114,3.25739846,2.71001965,1.539493747,1.393654196,1.356377698,4.058061084,2.185430748,6.551485485,16.38444987,382257.45,1.640337803,0.578889832,1.62091942,0.823601553,Equity,Mid Cap Fund,119721,103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,SBI LARGE & MIDCAP FUND,0.7,1.6,Direct
120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,1/10/2013,9/30/2024,41.25530804,44.42527574,31.74888625,20.85394685,23.9362232,13.55108315,12.0628337,10.57297149,12.88076216,16.31383187,10.12854714,9.121646921,7.874231365,9.672729624,12.47066928,2.8230443,3.434124749,2.719092384,1.386093976,1.283341851,3.776978822,4.541425041,3.651008577,1.845802327,1.678837176,1.370744221,4.214419557,2.169866061,6.083713244,15.30324401,216940.27,1.786830721,0.44438188,1.457373392,0.757147372,Equity,Sectoral/ Thematic,120722,111957,ICICI Prudential Focused Equity Fund - Growth,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Focused Equity Fund,0.56,1.74,Direct
135805,Tata India Consumer Fund-Direct Plan-Growth,12/29/2015,9/30/2024,50.43001393,40.69786403,28.30362216,18.9139907,20.76458738,12.69902442,11.83633683,10.49478275,13.48469911,16.31442607,8.45518632,8.408500864,7.561289857,9.965068301,12.39167867,3.734933674,3.184926601,2.411066791,1.180151709,1.088888283,5.609576435,4.483303818,3.346469007,1.596977584,1.433590061,1.475934905,4.236028079,2.125594716,6.811820131,19.1822155,37216.82,1.39086638,0.334723092,1.302138487,0.71210639,Equity,ELSS,135805,135804,Tata India Consumer Fund-Regular Plan-Growth,Tata India Consumer Fund-Direct Plan-Growth,Tata India Consumer Fund,0.73,1.99,Direct
133516,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,2/3/2015,9/30/2024,46.20766583,44.44866275,30.18461541,17.52635639,20.49720237,16.60492625,15.14766692,12.66661502,14.35881021,16.36078585,13.29647716,11.99690636,9.874841486,11.1138821,12.83377074,2.602099232,2.736306718,2.146162598,1.011668528,1.069459776,3.249557407,3.454945926,2.752916636,1.307046113,1.363371897,1.51208217,4.310013138,2.276229811,7.049130027,20.30837004,13876.55,1.338884402,0.069363022,1.025855651,0.588825952,Equity,ELSS,133516,133513,Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan - Growth,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,Aditya Birla Sun Life Manufacturing Equity Fund,1.27,2.24,Direct
120465,Axis Bluechip Fund - Direct Plan - Growth,1/2/2013,9/30/2024,27.36738349,29.93464608,20.0614863,9.339851825,14.93192213,13.90064125,12.32149666,10.67366794,13.2558077,16.3679825,10.26518129,9.219610196,7.890985732,9.893002297,12.45491032,1.752968302,2.185988182,1.598465157,0.478269749,0.728979404,2.373789884,2.921451721,2.162148923,0.640842045,0.958009478,1.414871937,4.795377282,2.142575475,7.117354053,21.62311373,1210674.04,0.732329581,-0.320078624,0.75689667,0.635961893,Equity,Large & Mid Cap Fund,120465,112277,Axis Bluechip Fund - Regular Plan - Growth,Axis Bluechip Fund - Direct Plan - Growth,Axis Bluechip Fund,0.67,1.56,Direct
129312,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,5/19/2014,9/30/2024,36.12443024,45.23186794,34.74915577,24.20679463,25.54477659,14.84530817,13.29102955,11.06028763,12.86454224,16.38009877,12.04366293,10.57849719,8.592948346,9.846881037,12.99599768,2.231306339,3.177471526,2.87055426,1.648468654,1.376351688,2.750361781,3.992237005,3.694791879,2.153656021,1.734747662,1.375015125,3.600768608,2.189046463,5.539171275,13.97742364,49724.07,2.535020157,0.830762582,1.972250075,0.839678791,Equity,Value Fund,129312,129310,ICICI Prudential Dividend Yield Equity Fund Growth Option,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,ICICI Prudential Dividend Yield Equity Fund,0.53,1.85,Direct
120749,UTI-Dividend Yield Fund.-Growth-Direct,1/2/2013,9/30/2024,48.54947335,43.64605299,31.67167893,17.83103141,21.24004436,14.88107712,13.45264818,11.53075757,13.58200076,16.40199036,11.51023823,10.40282772,8.743294934,10.40675741,12.84580983,3.060898951,3.021416486,2.486539047,1.091962199,1.112062863,3.957300661,3.907211971,3.279276194,1.42513473,1.419921718,1.408373711,4.516708016,2.210363821,6.41141649,20.06468476,16022.98,1.797861101,0.134193147,1.274885907,0.708439345,Equity,Value Fund,120749,103026,UTI-Dividend Yield Fund.-Growth,UTI-Dividend Yield Fund.-Growth-Direct,UTI - Dividend Yield Fund,1.42,1.98,Direct
133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,2/26/2015,9/30/2024,46.90677416,41.29790081,26.02921684,16.5716655,20.38300664,17.14356874,15.08160181,12.30842766,14.04431691,16.42915264,13.78080427,11.97380868,9.625673539,10.91528852,13.06972098,2.561122181,2.53937886,1.871012081,0.966345717,1.058058624,3.186082125,3.198472753,2.392478485,1.243362964,1.33002125,1.390288055,4.664338812,2.238560706,6.741056745,17.5232772,54633.28,0.865232524,0.07801962,1.236696455,0.766155208,Equity,Mid Cap Fund,133710,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,LIC MF Large & Mid Cap Fund,0.59,1.9,Direct
120688,ICICI Prudential Exports & Services Fund - Direct Plan - Growth,1/8/2013,9/30/2024,38.69810398,39.58877788,29.37885621,20.23057911,22.38456258,12.58997371,11.26622593,9.575493325,11.1214912,16.4353682,9.903805703,8.770655288,7.268751228,8.452010736,12.88799174,2.835439121,3.247651708,2.754829993,1.549304747,1.179441942,3.604483474,4.171726819,3.629076768,2.03863668,1.504079377,1.283998071,3.577927848,2.053925962,5.161150984,11.89985272,46119.39,2.11122146,0.668217713,1.582091986,0.709471614,Equity,ELSS,120688,103312,ICICI Prudential Exports & Services Fund - Growth,ICICI Prudential Exports & Services Fund - Direct Plan - Growth,ICICI Prudential Exports & Services Fund,1.68,2.27,Direct
118758,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option,1/3/2013,9/30/2024,39.60354632,42.04255874,31.28665602,18.12917419,26.06986183,11.58049039,11.29846562,10.71388642,12.37600592,16.47561308,7.682258898,7.855531212,7.324225714,8.781900647,11.71396011,3.160794153,3.45556291,2.640186288,1.222460161,1.400242997,4.764685336,4.970072383,3.862067763,1.722767633,1.96943319,1.399176284,4.663514855,1.949757313,6.779061035,19.47865902,67.45,1.759724922,0.254715301,0.836983375,0.848695307,Equity,ELSS,118758,102432,Nippon India Pharma Fund-Growth Plan-Bonus Option,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Pharma Fund,0.9,1.8,Direct
119507,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,1/2/2013,9/30/2024,39.34447392,43.12915077,33.8410481,21.58775177,23.31381293,17.55144157,16.25688224,13.67596548,15.04756812,16.59336778,14.11433383,12.94929961,10.68380152,11.7312106,13.20408158,2.070740102,2.468440762,2.255127665,1.235266166,1.224212782,2.575004556,3.098943725,2.886711067,1.584470044,1.538449517,1.491562473,4.074508624,2.338833721,6.665595783,18.7122807,13737.8,2.019252486,0.529827654,1.475340919,0.815325286,Equity,Value Fund,119507,101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Aditya Birla Sun Life Dividend Yield Fund,1.37,2.19,Direct
119775,Kotak Emerging Equity Scheme - Growth - Direct,1/3/2013,9/30/2024,51.7473729,42.01879763,30.54872639,21.39895568,26.09888676,17.17407534,14.91562807,12.28843698,14.05060995,16.5937724,13.61950274,11.75049217,9.504050278,10.9148409,13.34996892,2.838427802,2.615967456,2.241841369,1.309477364,1.392021428,3.579232946,3.320609645,2.898630119,1.685682444,1.730257718,1.425239578,4.073486893,2.319705504,6.583975333,16.32153459,1074673.89,1.811390088,0.596771233,1.773829611,1.072591178,Equity,Small Cap Fund,119775,104908,Kotak Emerging Equity Scheme - Growth,Kotak Emerging Equity Scheme - Growth - Direct,Kotak Emerging Equity Fund,0.34,1.42,Direct
119591,Aditya Birla Sun Life India Gennext Fund - Growth - Direct Plan,1/2/2013,9/30/2024,47.24041224,37.42015004,25.22496175,17.15688733,20.17154727,12.07426861,11.00215194,9.780227228,12.7401899,16.61030244,8.016626499,7.858560895,7.084789787,9.561739188,13.04886268,3.664024188,3.128492519,2.272438179,1.111199083,1.033788959,5.518582193,4.379955885,3.136996639,1.480576604,1.315942063,1.458258995,4.413910223,2.188211388,6.539120527,17.10295591,59720.72,1.164138756,0.285725709,1.368461542,0.812393964,Equity,ELSS,119591,103111,Aditya Birla Sun Life India Gennext Fund-Growth Option,Aditya Birla Sun Life India Gennext Fund - Growth - Direct Plan,Aditya Birla Sun Life India Gennext Fund,0.73,1.83,Direct
119716,SBI Magnum MIDCAP FUND - DIRECT PLAN - GROWTH,1/2/2013,9/30/2024,35.15073128,34.32538375,26.86565251,20.41354881,25.99103627,13.09366534,12.35976097,10.88001543,13.68649597,16.61392368,10.10319847,9.63353261,8.353096975,10.5959481,13.26359008,2.455441655,2.534465176,2.193531126,1.272316073,1.383841453,3.18223297,3.251702675,2.857102291,1.643415827,1.733394664,1.519606464,4.249847898,2.32286757,6.578232629,17.29273608,377156.15,1.915440255,0.772216531,1.826452558,1.019877099,Equity,Small Cap Fund,119716,102941,SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH,SBI Magnum MIDCAP FUND - DIRECT PLAN - GROWTH,SBI Magnum MIDCAP FUND,0.78,1.66,Direct
119071,DSP Midcap Fund - Direct Plan - Growth,1/2/2013,9/30/2024,49.74829084,38.90137928,28.91324432,16.11943513,20.98559257,15.83014747,14.63365517,12.53117481,14.28201364,16.65159358,12.44791986,11.55295859,9.753171492,11.11419193,13.32193915,2.953117837,2.45334326,2.06790223,0.918598417,1.080112392,3.755510268,3.107548513,2.656904407,1.180421861,1.350073167,1.446739171,4.890146296,2.341966344,7.669420853,22.46497904,301634.93,1.602354825,0.125401334,1.130156701,0.804655228,Equity,Small Cap Fund,119071,104481,DSP Midcap Fund - Regular Plan - Growth,DSP Midcap Fund - Direct Plan - Growth,DSP Midcap Fund,0.7,1.66,Direct
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,1/2/2013,9/30/2024,32.51554022,31.99667309,24.40522281,17.71726069,19.87105192,15.42603249,13.36051568,11.33920936,13.20473277,16.70844335,12.25248027,10.59162625,8.845192998,10.13848722,13.09489859,1.913359138,2.170325891,1.8877174,1.11454438,1.00973212,2.408944114,2.737697913,2.419983692,1.451622947,1.288368276,1.361714042,4.106423698,2.206401508,6.118768117,15.13044122,88577.98,1.539478275,0.571432172,1.419852012,0.842458376,Equity,Mid Cap Fund,119202,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,Tata Large & MId Cap Fund -Direct Plan- Growth Option,Tata Large & Mid Cap Fund,0.7,1.76,Direct
120158,Kotak Equity Opportunities Fund - Growth - Direct,1/2/2013,9/30/2024,37.86176891,38.05294975,28.95944091,19.9292588,22.18355141,17.14780875,14.86854599,12.36873461,14.10715474,16.862204,13.84104954,11.93756092,9.742463807,10.95233218,13.42530919,2.033015962,2.357523712,2.098795206,1.200047714,1.137665717,2.518722934,2.936357769,2.664566318,1.545721817,1.428909468,1.448902194,3.887638524,2.269481833,6.312631561,15.77398548,472664.78,1.78379759,0.558259148,1.413061052,0.899481124,Equity,Mid Cap Fund,120158,103234,Kotak Equity Opportunities Fund - Growth,Kotak Equity Opportunities Fund - Growth - Direct,Kotak Equity Opportunities Fund,0.47,1.59,Direct
